City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
punta arenas,-53.15,-70.9167,42.91,93,75,2.3,CL,1655106641
leningradskiy,69.3833,178.4167,33.84,87,96,11.1,RU,1655106641
atuona,-9.8,-139.0333,77.9,64,76,20.78,PF,1655106642
mugur-aksy,50.35,90.5,73.6,30,96,3.22,RU,1655106642
upernavik,72.7868,-56.1549,28.53,96,100,5.48,GL,1655106642
souillac,-20.5167,57.5167,75.58,69,75,18.41,MU,1655106642
rikitea,-23.1203,-134.9692,73.09,66,62,12.33,PF,1655106643
sao filipe,14.8961,-24.4956,72.79,81,21,6.17,CV,1655106643
busselton,-33.65,115.3333,61.52,71,90,14.18,AU,1655106643
praya,14.9215,-23.5087,73.94,78,75,13.8,CV,1655106643
ponta do sol,32.6667,-17.1,70.0,75,46,1.48,PT,1655106644
malm,64.0721,11.2172,53.38,85,100,4.83,NO,1655106644
mahebourg,-20.4081,57.7,77.25,69,75,18.41,MU,1655106644
port elizabeth,-33.918,25.5701,66.31,62,0,3.44,ZA,1655106416
balakovo,52.0278,47.8007,66.74,56,0,6.13,RU,1655106645
tuktoyaktuk,69.4541,-133.0374,32.47,89,100,6.91,CA,1655106645
gewane,10.1664,40.6453,99.5,22,63,15.43,ET,1655106645
abu dhabi,24.4667,54.3667,102.31,56,0,9.22,AE,1655106373
sun valley,39.5963,-119.776,57.13,65,0,5.99,US,1655106646
saint-francois,46.4154,3.9054,71.67,64,100,5.75,FR,1655106646
zhangye,38.9342,100.4517,87.24,5,0,2.75,CN,1655106646
bluff,-46.6,168.3333,45.81,63,80,27.36,NZ,1655106647
new norfolk,-42.7826,147.0587,46.71,83,23,3.44,AU,1655106647
tura,25.5198,90.2201,80.42,89,100,6.31,IN,1655106647
coquimbo,-29.9533,-71.3436,49.73,93,100,2.3,CL,1655106648
port alfred,-33.5906,26.891,74.17,40,100,4.0,ZA,1655106648
lorengau,-2.0226,147.2712,82.6,74,77,11.65,PG,1655106648
albany,42.6001,-73.9662,65.17,93,100,2.53,US,1655106649
ushuaia,-54.8,-68.3,35.26,100,40,2.3,AR,1655106649
cherskiy,68.75,161.3,69.31,28,74,8.19,RU,1655106649
lagoa,39.05,-27.9833,62.13,82,19,18.21,PT,1655106649
santa rosa,14.3122,121.1114,93.09,65,100,6.29,PH,1655106495
ayan,56.45,138.1667,42.06,97,100,9.69,RU,1655106650
savannah bight,16.45,-85.85,79.43,83,100,16.89,HN,1655106650
pisco,-13.7,-76.2167,60.85,88,100,3.44,PE,1655106650
lar,26.2039,83.9717,113.32,15,10,11.27,IN,1655106651
butaritari,3.0707,172.7902,82.04,69,6,12.8,KI,1655106651
provideniya,64.3833,-173.3,41.05,68,99,2.75,RU,1655106651
hobart,-42.8794,147.3294,47.05,78,20,4.61,AU,1655106356
fortuna,40.5982,-124.1573,55.65,86,100,9.22,US,1655106652
abalak,58.1286,68.5944,52.38,98,100,5.68,RU,1655106652
pastos bons,-6.6017,-44.0767,69.8,92,22,0.98,BR,1655106652
cape town,-33.9258,18.4232,58.26,92,75,13.8,ZA,1655106653
pemangkat,1.1667,108.9667,79.2,80,100,3.85,ID,1655106653
nikolskoye,59.7035,30.7861,70.72,45,32,6.96,RU,1655106654
wamba,8.9333,8.6,78.94,73,61,2.95,NG,1655106654
helong,42.5397,128.9972,64.44,78,100,6.04,CN,1655106655
mahajanga,-15.7167,46.3167,82.42,42,0,13.8,MG,1655106655
svetlogorsk,52.6333,29.7333,69.44,50,90,6.89,BY,1655106656
bandarbeyla,9.4942,50.8122,91.72,45,100,24.61,SO,1655106656
padang,-0.9492,100.3543,86.05,69,93,5.44,ID,1655106657
mataura,-46.1927,168.8643,45.48,88,78,10.63,NZ,1655106657
lebu,-37.6167,-73.65,46.98,87,38,10.56,CL,1655106657
saint george,37.1041,-113.5841,90.19,9,0,14.97,US,1655106646
tokonou,9.65,-9.7833,69.46,95,100,3.58,GN,1655106658
cabo san lucas,22.8909,-109.9124,82.62,71,8,10.96,MX,1655106658
sitka,57.0531,-135.33,49.89,81,100,6.91,US,1655106658
buala,-8.145,159.5921,79.5,82,93,7.63,SB,1655106658
chuy,-33.6971,-53.4616,45.01,96,17,4.61,UY,1655106659
yumen,40.2833,97.2,89.11,4,0,19.53,CN,1655106659
ekibastuz,51.6667,75.3667,85.68,27,100,16.64,KZ,1655106659
kaitangata,-46.2817,169.8464,45.45,78,90,16.13,NZ,1655106660
iquitos,-3.7481,-73.2472,71.64,94,75,2.3,PE,1655106660
utevka,52.9035,50.9495,64.81,62,48,6.62,RU,1655106661
phangnga,8.4509,98.5298,87.84,55,100,6.4,TH,1655106379
tchibanga,-2.85,11.0333,76.42,76,100,2.26,GA,1655106661
kruisfontein,-34.0033,24.7314,67.24,40,100,3.02,ZA,1655106662
hilo,19.7297,-155.09,78.28,85,0,8.05,US,1655106365
arraial do cabo,-22.9661,-42.0278,66.85,66,100,26.15,BR,1655106662
chiang khong,20.2613,100.4046,90.23,58,100,3.67,TH,1655106662
qaanaaq,77.484,-69.3632,22.95,69,0,4.63,GL,1655106662
panama city,8.9936,-79.5197,78.93,93,100,2.3,PA,1655106663
moroto,2.5345,34.6666,76.26,53,48,1.68,UG,1655106663
jamestown,42.097,-79.2353,60.39,66,3,1.54,US,1655106663
east london,-33.0153,27.9116,76.14,29,0,19.57,ZA,1655106418
hovd,48.0056,91.6419,87.69,16,99,5.19,MN,1655106664
mayo,38.8876,-76.5119,73.98,92,100,5.75,US,1655106665
takoradi,4.8845,-1.7554,78.44,76,97,4.41,GH,1655106619
hami,42.8,93.45,100.78,4,0,2.35,CN,1655106666
bambous virieux,-20.3428,57.7575,77.22,69,75,18.41,MU,1655106666
bintulu,3.1667,113.0333,75.61,100,40,3.44,MY,1655106659
bredasdorp,-34.5322,20.0403,59.77,70,100,3.58,ZA,1655106666
vaini,-21.2,-175.2,77.16,94,75,4.61,TO,1655106666
minab,27.1467,57.0801,98.92,49,20,4.61,IR,1655106667
bilibino,68.0546,166.4372,62.78,26,64,13.29,RU,1655106667
mar del plata,-38.0023,-57.5575,45.09,75,0,4.61,AR,1655106667
chokurdakh,70.6333,147.9167,70.95,21,7,7.63,RU,1655106633
sovetskaya gavan,48.9723,140.2878,57.58,70,6,7.76,RU,1655106667
vao,-22.6667,167.4833,71.35,74,100,12.75,NC,1655106668
saint-philippe,-21.3585,55.7679,72.99,84,99,16.8,RE,1655106669
korla,41.7597,86.1469,97.81,6,8,2.53,CN,1655106669
carnarvon,-24.8667,113.6333,71.01,50,0,13.31,AU,1655106664
bethel,41.3712,-73.414,66.56,96,40,1.01,US,1655106669
bonnyville,54.2668,-110.735,57.0,82,51,1.74,CA,1655106670
pevek,69.7008,170.3133,39.92,65,61,9.78,RU,1655106670
juarez,31.7333,-106.4833,92.19,22,100,17.27,MX,1655106671
naze,28.3667,129.4833,77.92,81,97,22.41,JP,1655106671
shubarshi,48.5872,57.1869,70.39,31,0,12.93,KZ,1655106672
port-gentil,-0.7193,8.7815,80.56,83,75,5.75,GA,1655106673
shache,38.4167,77.2406,92.3,14,66,3.65,CN,1655106673
rio cuarto,-33.1307,-64.3499,50.47,52,10,12.55,AR,1655106673
big spring,32.2504,-101.4787,87.24,28,0,18.41,US,1655106674
castro,-24.7911,-50.0119,36.16,80,0,2.46,BR,1655106456
emba,48.8264,58.1442,68.31,34,0,13.6,KZ,1655106674
idah,7.1065,6.7342,80.82,76,62,4.18,NG,1655106674
oranjestad,12.524,-70.027,79.65,85,100,26.4,AW,1655106674
dok kham tai,19.1624,99.9934,88.93,58,99,3.83,TH,1655106618
biu,10.6129,12.1946,78.06,59,100,5.84,NG,1655106675
menongue,-14.6585,17.691,66.97,39,20,7.56,AO,1655106675
dudinka,69.4058,86.1778,72.54,36,100,12.48,RU,1655106676
devrek,41.2192,31.9558,76.46,62,65,4.56,TR,1655106677
vila velha,-20.3297,-40.2925,69.75,85,100,17.27,BR,1655106677
peresichna,50.0241,35.9826,76.87,61,4,1.95,UA,1655106678
georgetown,5.4112,100.3354,91.33,70,20,10.36,MY,1655106656
kavieng,-2.5744,150.7967,82.67,72,35,12.12,PG,1655106678
presidencia roque saenz pena,-26.7852,-60.4388,41.31,69,0,5.59,AR,1655106678
oksfjord,70.2396,22.3479,48.27,76,82,4.72,NO,1655106678
houma,29.5958,-90.7195,81.0,92,40,1.99,US,1655106679
hvide sande,56.0045,8.1294,59.09,70,15,14.74,DK,1655106679
high level,58.5169,-117.136,49.78,43,56,0.85,CA,1655106679
danilovka,50.3557,44.1168,73.65,48,25,7.0,RU,1655106680
grindavik,63.8424,-22.4338,50.47,100,100,16.11,IS,1655106680
wahiawa,21.5028,-158.0236,75.52,73,100,9.22,US,1655106680
toamasina,-18.1667,49.3833,73.4,73,75,12.66,MG,1655106681
lompoc,34.6391,-120.4579,64.54,91,100,17.0,US,1655106681
kalmunai,7.4167,81.8167,91.22,54,97,12.37,LK,1655106681
rudbar,30.15,62.6,104.74,11,0,7.83,AF,1655106681
yerbogachen,61.2767,108.0108,72.14,29,100,3.42,RU,1655106682
puerto quijarro,-17.7833,-57.7667,47.43,49,28,3.53,BO,1655106682
pella,59.7775,30.8181,70.88,45,28,7.31,RU,1655106672
kargasok,59.0556,80.8572,72.14,53,89,7.94,RU,1655106683
saldanha,-33.0117,17.9442,55.45,89,100,19.64,ZA,1655106683
barrow,71.2906,-156.7887,26.62,93,100,8.05,US,1655106683
caorle,45.5966,12.8758,75.16,67,61,4.83,IT,1655106684
gibara,21.1097,-76.1317,77.38,87,91,6.15,CU,1655106684
neiafu,-18.65,-173.9833,80.24,79,7,17.0,TO,1655106684
socorro,31.6546,-106.3033,92.39,23,70,1.57,US,1655106684
karasjok,69.4719,25.5112,58.19,52,45,10.63,NO,1655106685
pangnirtung,66.1451,-65.7125,26.44,89,74,2.55,CA,1655106685
coahuayana,18.7333,-103.6833,77.81,82,73,3.38,MX,1655106685
mount isa,-20.7333,139.5,71.37,20,6,6.91,AU,1655106662
victoria,22.2855,114.1577,89.19,83,84,18.99,HK,1655106497
gamboma,-1.8764,15.8644,83.97,51,90,3.98,CG,1655106686
hermanus,-34.4187,19.2345,60.8,83,100,12.19,ZA,1655106686
adrar,20.5022,-10.0711,90.61,28,15,7.47,MR,1655106683
southbridge,42.0751,-72.0334,65.44,96,100,4.0,US,1655106686
karpathos,35.507,27.2132,76.96,73,40,28.77,GR,1655106458
hithadhoo,-0.6,73.0833,84.06,71,27,7.67,MV,1655106687
kapaa,22.0752,-159.319,76.12,85,75,17.27,US,1655106687
yelovo,57.0538,54.9207,61.72,55,0,12.28,RU,1655106687
byron bay,-28.65,153.6167,58.95,80,100,6.15,AU,1655106688
thompson,55.7435,-97.8558,50.16,87,40,2.3,CA,1655106688
yellowknife,62.456,-114.3525,50.56,87,20,2.3,CA,1655106688
kodiak,57.79,-152.4072,56.71,62,0,5.75,US,1655106585
kamphaeng phet,16.25,99.5,97.41,40,99,0.65,TH,1655106617
beringovskiy,63.05,179.3167,43.12,72,95,5.95,RU,1655106689
rockland,41.1668,-74.0496,67.86,95,95,1.83,US,1655106689
tiksi,71.6872,128.8694,45.88,63,53,7.49,RU,1655106503
belyy yar,53.6039,91.3903,78.85,64,0,6.71,RU,1655106689
aswan,24.0934,32.907,97.43,18,0,15.05,EG,1655106690
avarua,-21.2078,-159.775,75.25,73,20,8.05,CK,1655106690
portland,45.5234,-122.6762,52.39,87,100,8.01,US,1655106690
san patricio,28.017,-97.5169,82.85,85,3,13.15,US,1655106691
jagtial,18.8,78.9333,92.62,43,100,7.65,IN,1655106691
tuatapere,-46.1333,167.6833,43.84,79,93,15.05,NZ,1655106691
svetlyy,54.675,20.1347,64.45,72,100,3.13,RU,1655106691
ozernovskiy,51.5,156.5167,42.73,96,100,9.08,RU,1655106692
joensuu,62.6012,29.7632,64.89,52,40,10.36,FI,1655106676
ancud,-41.8697,-73.8203,51.22,93,100,10.8,CL,1655106692
omboue,-1.5746,9.2618,79.11,77,100,6.02,GA,1655106693
boa vista,2.8197,-60.6733,75.18,88,75,3.44,BR,1655106693
antofagasta,-23.65,-70.4,54.68,79,29,4.25,CL,1655106693
port lincoln,-34.7333,135.8667,57.67,65,78,12.44,AU,1655106694
orotukan,62.2667,151.7,53.4,56,31,5.3,RU,1655106694
otradnoye,59.7775,30.8181,70.88,45,28,7.31,RU,1655106672
richards bay,-28.783,32.0377,67.55,37,7,8.21,ZA,1655106695
oktyabrskiy,54.4815,53.471,63.28,62,4,12.08,RU,1655106695
salinas,36.6777,-121.6555,59.41,78,0,18.41,US,1655106696
faanui,-16.4833,-151.75,80.2,67,95,20.29,PF,1655106696
sao joao da barra,-21.6403,-41.0511,65.48,64,100,19.17,BR,1655106696
fukue,32.6881,128.8419,66.56,100,75,11.5,JP,1655106696
katsuura,35.1333,140.3,66.72,69,100,13.56,JP,1655106556
la union,-5.4,-80.75,63.79,80,77,9.28,PE,1655106697
oga,46.4631,10.347,65.8,63,82,4.09,IT,1655106697
axim,4.8699,-2.2405,79.56,72,97,4.27,GH,1655106697
general roca,-39.0333,-67.5833,46.76,57,100,1.25,AR,1655106698
bani,18.2833,-70.3333,79.86,82,99,7.65,DO,1655106698
verona,45.4167,11.0333,82.51,44,0,6.91,IT,1655106697
methoni,36.8197,21.7049,77.22,66,13,5.77,GR,1655106698
faya,18.3851,42.4509,86.52,12,28,8.72,SA,1655106699
paragominas,-2.9667,-47.4833,68.9,99,14,1.86,BR,1655106699
campbell river,50.0163,-125.2446,54.93,88,2,7.81,CA,1655106699
goure,13.9835,10.2704,90.01,31,14,16.98,NE,1655106700
poum,-20.2333,164.0167,75.79,84,100,16.67,NC,1655106700
dunedin,-45.8742,170.5036,44.8,65,20,21.0,NZ,1655106416
miramar,25.9873,-80.2323,82.42,87,0,3.44,US,1655106700
bud,39.447,-86.1758,73.89,97,82,3.31,US,1655106701
nador,35.174,-2.9287,75.45,73,40,2.3,MA,1655106701
tzaneen,-23.8332,30.1635,72.05,20,0,1.54,ZA,1655106701
vodnyy,63.5046,53.4095,65.82,25,41,4.79,RU,1655106702
ahipara,-35.1667,173.1667,56.86,72,29,21.39,NZ,1655106702
primorsko-akhtarsk,46.0497,38.1747,84.72,35,25,13.06,RU,1655106702
bowen,-20.0167,148.2333,65.3,48,2,7.16,AU,1655106702
tazovskiy,67.4667,78.7,62.82,65,96,16.98,RU,1655106703
mackay,-21.15,149.2,57.69,57,0,11.32,AU,1655106703
atar,20.5169,-13.0499,94.42,12,0,3.0,MR,1655106703
linhai,28.85,121.1167,73.92,85,100,2.46,CN,1655106703
taoudenni,22.6783,-3.9836,93.83,27,94,5.35,ML,1655106704
beaupre,47.0443,-70.8953,61.61,95,79,2.3,CA,1655106704
alamos,27.0167,-108.9333,80.87,50,53,5.55,MX,1655106704
kudahuvadhoo,2.6708,72.8944,83.64,71,93,8.25,MV,1655106704
eureka,40.8021,-124.1637,54.75,80,19,5.99,US,1655106705
honiara,-9.4333,159.95,78.39,87,97,4.54,SB,1655106596
ostrovnoy,68.0531,39.5131,52.54,84,100,4.79,RU,1655106705
turukhansk,65.8167,87.9833,74.35,45,98,4.41,RU,1655106705
khani,41.9563,42.9566,69.37,57,95,6.08,GE,1655106706
meulaboh,4.1363,96.1285,84.69,68,98,6.33,ID,1655106706
khatanga,71.9667,102.5,73.42,26,100,7.87,RU,1655106706
vardo,70.3705,31.1107,46.38,71,75,16.11,NO,1655106706
sawtell,-30.3833,153.1,53.62,76,7,5.75,AU,1655106707
puerto ayora,-0.7393,-90.3518,71.55,94,83,5.01,EC,1655106707
lobito,-12.3481,13.5456,77.65,42,3,3.04,AO,1655106707
manturovo,58.3353,44.7619,70.39,35,8,1.88,RU,1655106707
tasiilaq,65.6145,-37.6368,34.84,100,100,2.98,GL,1655106708
hobyo,5.3505,48.5268,86.32,59,53,25.7,SO,1655106708
urumqi,43.801,87.6005,94.15,21,0,8.95,CN,1655106585
cidreira,-30.1811,-50.2056,51.1,76,100,14.09,BR,1655106415
los llanos de aridane,28.6585,-17.9182,65.95,91,75,3.0,ES,1655106682
koulamoutou,-1.1303,12.4736,70.18,72,94,3.02,GA,1655106709
kaabong,3.4836,34.1492,74.32,56,4,7.05,UG,1655106709
manyana,-23.4,21.7167,62.8,38,0,13.42,BW,1655106709
paharpur,32.1038,70.9724,106.25,18,0,4.16,PK,1655106709
auki,-8.7676,160.7034,77.74,87,74,4.74,SB,1655106710
kawalu,-7.3817,108.2082,78.96,86,100,2.77,ID,1655106710
berdigestyakh,62.0989,126.6992,63.86,43,54,4.97,RU,1655106710
dahuk,36.8695,42.994,85.98,25,1,10.09,IQ,1655106683
port augusta,-32.5,137.7667,55.81,54,49,9.64,AU,1655106711
bambanglipuro,-7.95,110.2833,82.24,75,90,5.99,ID,1655106711
whyalla,-33.0333,137.5833,58.71,55,44,12.01,AU,1655106711
marrakesh,31.6315,-8.0083,89.67,29,29,2.3,MA,1655106712
rehoboth,-23.3167,17.0833,63.59,37,3,15.21,NA,1655106608
buraydah,26.326,43.975,99.05,7,0,10.74,SA,1655106712
hofn,64.2539,-15.2082,48.2,90,100,7.18,IS,1655106541
hasaki,35.7333,140.8333,70.29,63,93,11.12,JP,1655106713
torbay,47.6666,-52.7314,42.28,90,40,6.91,CA,1655106713
beloha,-25.1667,45.05,74.71,35,0,10.25,MG,1655106713
fairbanks,64.8378,-147.7164,60.76,64,0,3.44,US,1655106714
ingersoll,43.0334,-80.883,56.57,95,3,6.64,CA,1655106714
palmer,42.1584,-72.3287,66.24,87,100,4.61,US,1655106714
atasu,48.6814,71.6433,84.0,22,92,13.09,KZ,1655106715
chilca,-12.5211,-76.7372,60.93,86,99,4.7,PE,1655106715
benguela,-12.5763,13.4055,78.12,38,0,2.71,AO,1655106712
vestmannaeyjar,63.4427,-20.2734,49.41,98,100,12.03,IS,1655106715
mercedes,-34.6515,-59.4307,42.85,78,48,7.16,AR,1655106661
qaqortoq,60.7167,-46.0333,37.29,78,47,5.73,GL,1655106716
esperance,-33.8667,121.9,61.27,77,100,33.6,AU,1655106716
sabang,5.8933,95.3214,83.89,71,67,9.08,ID,1655106717
biak,-0.9131,122.8766,81.36,73,97,7.27,ID,1655106717
yanam,16.7333,82.2167,95.76,43,100,7.58,IN,1655106692
shuangcheng,45.35,126.2833,69.48,55,100,12.84,CN,1655106680
tromso,69.6496,18.957,49.37,76,75,6.91,NO,1655106718
west wendover,40.7391,-114.0733,65.41,45,75,20.71,US,1655106719
zhicheng,30.2956,111.5047,87.66,47,100,4.41,CN,1655106719
ribeira grande,38.5167,-28.7,63.0,77,40,11.5,PT,1655106719
jalu,29.0331,21.5482,81.7,39,0,12.06,LY,1655106720
sun city west,33.662,-112.3413,97.61,28,0,16.11,US,1655106720
samarai,-10.6167,150.6667,82.8,75,73,12.28,PG,1655106720
san andres,12.5847,-81.7006,80.62,89,75,6.91,CO,1655106721
plainview,40.7765,-73.4673,69.55,83,75,4.61,US,1655106721
aracati,-4.5617,-37.7697,72.39,90,55,7.14,BR,1655106721
brae,60.3964,-1.353,51.04,94,100,16.08,GB,1655106722
shizunai,42.3339,142.3669,56.14,89,100,5.99,JP,1655106722
ivnya,51.0629,36.1343,71.82,66,0,2.08,RU,1655106722
turmalina,-17.2856,-42.73,60.08,90,83,1.54,BR,1655106722
naberera,-4.2,36.9333,69.8,54,90,10.45,TZ,1655106723
manicore,-5.8092,-61.3003,71.55,100,100,2.3,BR,1655106723
norman wells,65.282,-126.8329,41.04,93,100,12.66,CA,1655106723
cam ranh,11.9214,109.1591,96.76,44,20,10.36,VN,1655106724
hualmay,-11.0964,-77.6139,61.03,86,63,8.7,PE,1655106724
kumluca,36.3703,30.2869,77.34,67,2,7.65,TR,1655106725
puerto escondido,15.85,-97.0667,77.52,85,100,2.06,MX,1655106725
almaznyy,48.0448,40.045,78.98,43,0,10.85,RU,1655106725
oranjemund,-28.55,16.4333,63.84,50,100,14.14,NA,1655106725
san ramon,37.7799,-121.978,59.38,82,0,9.22,US,1655106726
kavaratti,10.5669,72.642,82.87,76,87,15.1,IN,1655106726
bayir,37.2687,28.2167,77.52,46,0,6.15,TR,1655106726
ambon,-3.6954,128.1814,86.14,74,40,4.61,ID,1655106727
codrington,-38.2667,141.9667,52.32,74,100,3.06,AU,1655106727
mitchell,43.7094,-98.0298,66.74,95,75,10.36,US,1655106727
charters towers,-20.1,146.2667,60.91,34,0,8.19,AU,1655106727
bilma,18.6853,12.9164,99.21,13,97,21.07,NE,1655106728
tocache,-8.1842,-76.5125,66.0,91,100,0.47,PE,1655106728
mehamn,71.0357,27.8492,44.51,91,100,19.64,NO,1655106729
nha trang,12.25,109.1833,96.8,63,100,12.26,VN,1655106461
kieta,-6.2167,155.6333,79.74,77,82,5.82,PG,1655106729
saint-joseph,-21.3667,55.6167,71.98,82,81,16.69,RE,1655106729
