City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tsabong,-26.0217,22.401,63.07,37,19,19.26,BW,1655106730
longyearbyen,78.2186,15.6401,39.04,87,75,4.61,SJ,1655106730
riyadh,24.6877,46.7219,102.34,7,0,7.09,SA,1655106730
freeport,40.6576,-73.5832,70.18,84,75,4.61,US,1655106731
bathsheba,13.2167,-59.5167,81.21,78,20,17.27,BB,1655106731
margate,51.3813,1.3862,62.11,73,5,1.01,GB,1655106679
talnakh,69.4865,88.3972,72.25,37,23,1.83,RU,1655106731
daru,-9.0763,143.2092,78.49,91,23,16.8,PG,1655106696
carauari,-4.8828,-66.8958,67.69,90,97,2.35,BR,1655106732
yarmouth,41.7057,-70.2286,68.11,89,75,5.99,US,1655106732
fatezh,52.0891,35.8632,71.58,69,9,5.44,RU,1655106732
grand gaube,-20.0064,57.6608,77.38,67,58,10.0,MU,1655106733
isangel,-19.55,169.2667,77.65,86,44,1.5,VU,1655106734
marawi,7.9986,124.2928,75.88,88,100,2.59,PH,1655106734
ilulissat,69.2167,-51.1,32.29,75,100,14.94,GL,1655106734
maues,-3.3836,-57.7186,71.15,100,100,1.79,BR,1655106734
les escoumins,48.1111,-69.0236,47.55,96,100,4.23,CA,1655106734
chaiyaphum,15.75,102.0,98.8,45,100,13.67,TH,1655106674
erzin,36.9559,36.2,76.6,67,13,8.79,TR,1655106735
port shepstone,-30.7414,30.455,69.73,36,0,4.61,ZA,1655106736
tezu,27.9167,96.1667,77.61,92,98,1.68,IN,1655106736
salalah,17.0151,54.0924,90.3,66,5,12.17,OM,1655106724
susehri,40.1644,38.0867,68.72,64,93,5.19,TR,1655106737
lavrentiya,65.5833,-171.0,39.52,70,100,8.01,RU,1655106737
severo-yeniseyskiy,60.3725,93.0408,71.62,41,68,10.25,RU,1655106738
luderitz,-26.6481,15.1594,62.74,61,100,14.0,NA,1655106607
sao miguel do araguaia,-13.275,-50.1628,65.79,64,90,5.59,BR,1655106738
porto novo,6.4965,2.6036,78.62,79,100,5.66,BJ,1655106635
kathmandu,27.7167,85.3167,80.82,65,75,5.75,NP,1655106585
carupano,10.6678,-63.2585,75.06,88,64,8.37,VE,1655106706
itoman,26.1247,127.6694,86.38,89,75,20.71,JP,1655106739
palaikastron,35.2,26.25,74.28,70,8,26.75,GR,1655106740
san vicente,-26.6167,-54.1333,34.0,95,0,2.82,AR,1655106740
aksu,41.1231,80.2644,97.34,7,91,7.63,CN,1655106447
puerto narino,-3.7703,-70.3831,69.33,88,100,2.08,CO,1655106741
zabid,14.1951,43.3152,101.14,36,58,9.64,YE,1655106741
ormara,25.2088,64.6357,83.55,81,1,11.81,PK,1655106741
dinghai,26.2847,119.7936,76.12,97,100,16.04,CN,1655106742
kahului,20.8947,-156.47,75.85,88,40,13.8,US,1655106742
sisimiut,66.9395,-53.6735,32.04,78,40,12.75,GL,1655106742
san antonio,29.4241,-98.4936,80.28,82,0,13.8,US,1655106742
tocopilla,-22.092,-70.1979,59.86,71,15,6.62,CL,1655106743
havoysund,70.9963,24.6622,43.03,89,100,16.24,NO,1655106743
rojhan,28.6868,69.9534,107.83,21,16,9.64,PK,1655106743
kamyshin,50.0983,45.416,71.8,44,0,7.74,RU,1655106743
shakiso,5.75,38.9167,62.29,91,98,5.35,ET,1655106744
port moresby,-9.4431,147.1797,81.82,83,40,11.5,PG,1655106742
porto walter,-8.2686,-72.7439,59.86,86,78,2.59,BR,1655106744
severo-kurilsk,50.6789,156.125,43.66,89,67,10.29,RU,1655106744
bograd,54.2344,90.8328,77.31,45,33,7.38,RU,1655106745
gromiljak,43.9667,18.0531,68.29,67,1,2.62,BA,1655106746
nanortalik,60.1432,-45.2371,35.58,84,38,20.8,GL,1655106747
sabzevar,36.2126,57.6819,88.88,23,0,0.0,IR,1655106747
te anau,-45.4167,167.7167,34.39,91,91,2.59,NZ,1655106747
amazar,53.858,120.875,68.99,53,47,5.44,RU,1655106748
barroquinha,-3.0189,-41.1361,69.17,97,24,3.65,BR,1655106748
kloulklubed,7.0419,134.2556,83.12,75,100,12.41,PW,1655106748
merauke,-8.4667,140.3333,79.86,85,97,17.09,ID,1655106748
sarai naurang,32.8259,70.7814,103.8,18,0,4.34,PK,1655106749
ikalamavony,-21.15,46.5833,66.88,62,26,12.71,MG,1655106749
tumen,42.9661,129.8425,57.22,98,100,7.18,CN,1655106745
xining,36.6167,101.7667,71.83,17,0,3.02,CN,1655106749
dikson,73.5069,80.5464,30.22,90,100,17.0,RU,1655106750
klaksvik,62.2266,-6.589,49.12,90,100,5.59,FO,1655106750
tuban,-6.8976,112.0649,84.74,71,100,7.52,ID,1655106751
wanaka,-44.7,169.15,32.61,90,47,5.26,NZ,1655106751
half moon bay,37.4636,-122.4286,59.11,80,0,23.02,US,1655106751
sorland,67.667,12.6934,49.86,93,86,20.54,NO,1655106751
senanga,-16.1167,23.2667,68.29,38,0,6.73,ZM,1655106751
shingu,33.7333,135.9833,69.44,77,100,5.7,JP,1655106752
nhulunbuy,-12.2333,136.7667,79.41,69,100,11.5,AU,1655106752
paamiut,61.994,-49.6678,34.68,80,75,28.14,GL,1655106752
naifaru,5.4444,73.3657,83.23,77,91,10.58,MV,1655106752
bogo,11.0517,124.0055,86.95,62,86,4.68,PH,1655106616
kourou,5.1552,-52.6478,74.1,91,32,3.6,GF,1655106753
mbekenyera,-10.0,38.9833,82.38,39,5,6.4,TZ,1655106753
camabatela,-8.1881,15.375,74.97,31,40,2.64,AO,1655106753
srednekolymsk,67.45,153.6833,71.53,28,46,13.38,RU,1655106754
inhambane,-23.865,35.3833,71.58,83,40,3.44,MZ,1655106754
talara,-4.5772,-81.2719,64.04,81,32,12.77,PE,1655106754
pitimbu,-7.4706,-34.8086,72.19,86,5,5.75,BR,1655106755
kroya,-7.6331,109.2461,82.17,76,100,6.38,ID,1655106755
salinopolis,-0.6136,-47.3561,77.13,84,0,7.11,BR,1655106755
viedma,-40.8135,-62.9967,51.73,52,100,14.16,AR,1655106756
bonthe,7.5264,-12.505,78.04,83,92,1.05,SL,1655106757
brigantine,39.4101,-74.3646,68.2,96,0,3.44,US,1655106757
dalvik,65.9702,-18.5286,46.33,82,100,1.81,IS,1655106757
benjamin constant,-4.3831,-70.0311,68.13,86,100,2.21,BR,1655106758
haines junction,60.7522,-137.5108,46.35,71,100,1.14,CA,1655106758
usinsk,65.9939,57.5281,59.34,22,1,9.08,RU,1655106758
berlevag,70.8578,29.0864,44.55,81,75,23.02,NO,1655106758
anshun,26.25,105.9333,63.55,88,100,5.61,CN,1655106698
linxia,35.6003,103.2064,76.62,17,0,4.25,CN,1655106745
manado,1.487,124.8455,79.57,89,40,2.3,ID,1655106697
vernon,50.2581,-119.2691,59.61,71,100,3.0,CA,1655106752
vasilyevskiy mokh,57.0132,35.919,64.18,80,100,3.18,RU,1655106760
alekseyevka,50.6309,38.6903,73.99,69,20,4.97,RU,1655106706
maningrida,-12.0667,134.2667,82.51,55,10,7.78,AU,1655106760
muros,42.7762,-9.0603,71.1,70,8,7.74,ES,1655106760
zhigansk,66.7697,123.3711,56.23,64,36,7.29,RU,1655106761
kosjeric,43.9961,19.9069,71.15,64,60,3.02,RS,1655106761
kraslava,55.8951,27.168,64.8,48,100,5.5,LV,1655106761
laguna,38.421,-121.4238,65.32,72,0,3.44,US,1655106762
ust-maya,60.4167,134.5333,56.48,81,100,4.76,RU,1655106762
awbari,26.5921,12.7805,85.39,24,4,11.21,LY,1655106762
san felipe,10.3399,-68.7425,69.49,97,100,2.37,VE,1655106762
kutum,14.2,24.6667,86.74,34,82,0.98,SD,1655106763
tikrit,34.6071,43.6782,94.17,20,0,14.99,IQ,1655106734
caravelas,-17.7125,-39.2481,68.81,93,100,3.65,BR,1655106763
buin,-33.7333,-70.75,54.05,57,14,1.01,CL,1655106676
odienne,9.51,-7.5692,75.85,78,94,4.43,CI,1655106763
mount gambier,-37.8333,140.7667,52.59,62,100,3.24,AU,1655106764
crotone,39.0851,17.1178,79.47,47,0,22.08,IT,1655106764
junction city,39.0286,-96.8314,82.26,84,20,16.11,US,1655106764
shimoda,34.6667,138.95,72.1,81,100,11.7,JP,1655106764
gabu,12.2833,-14.2167,78.01,87,43,5.97,GW,1655106765
pangai,-19.8,-174.35,79.18,85,9,14.88,TO,1655106765
zyryanka,65.75,150.85,64.85,38,3,16.91,RU,1655106766
diplo,24.4667,69.584,98.38,39,3,14.07,PK,1655106766
comodoro rivadavia,-45.8667,-67.5,55.26,38,0,17.27,AR,1655106766
dunda,-8.1167,34.25,75.45,36,48,6.96,TZ,1655106767
katrineholm,58.9959,16.2072,62.73,45,96,9.51,SE,1655106651
kununurra,-15.7667,128.7333,84.18,14,16,8.05,AU,1655106767
channel-port aux basques,47.5702,-59.1367,52.9,69,82,6.15,CA,1655106768
pindiga,9.9833,10.9333,79.16,65,99,10.49,NG,1655106768
atambua,-9.1061,124.8925,79.65,61,16,2.42,ID,1655106769
prince albert,53.2001,-105.7677,57.15,88,75,6.91,CA,1655106769
georgiyevskoye,58.731,45.024,69.28,35,8,2.64,RU,1655106770
noyabrsk,63.1994,75.4507,68.7,52,98,8.75,RU,1655106770
tumbotino,55.9993,43.0236,67.78,49,0,4.63,RU,1655106771
kalyazin,57.2403,37.8433,61.0,78,100,5.32,RU,1655106771
santomera,38.0615,-1.0488,88.52,31,90,3.0,ES,1655106771
linjiang,41.8069,126.9078,68.63,67,100,4.14,CN,1655106490
kodinsk,58.6881,99.1844,80.29,36,52,13.42,RU,1655106772
saint-augustin,51.226,-58.6502,45.72,85,21,2.33,CA,1655106772
killorglin,52.1,-9.7833,55.38,71,100,5.75,IE,1655106773
itarema,-2.9248,-39.9167,73.0,91,77,7.78,BR,1655106773
blackwater,-23.5833,148.8833,56.79,50,0,4.12,AU,1655106773
malanje,-9.5402,16.341,70.03,35,97,4.63,AO,1655106775
umarkot,25.3616,69.7362,103.46,31,2,13.82,PK,1655106776
nishihara,26.1842,127.7558,85.66,89,75,20.71,JP,1655106776
creel,27.75,-107.6333,58.64,69,100,5.57,MX,1655106776
pahrump,36.2083,-115.9839,82.45,32,1,18.99,US,1655106776
argentan,48.75,-0.0167,59.13,74,19,7.29,FR,1655106777
abu kamal,34.4506,40.9171,86.18,31,0,13.09,SY,1655106777
sao felix do xingu,-6.6447,-51.995,68.77,99,75,0.76,BR,1655106777
yaan,7.3833,8.5667,79.63,76,80,6.55,NG,1655106778
tual,-5.6667,132.75,80.91,82,100,22.57,ID,1655106779
cairns,-16.9167,145.7667,72.07,68,37,11.5,AU,1655106779
puno,-15.8333,-70.0333,31.24,32,0,2.59,PE,1655106780
bairiki,1.3292,172.9752,80.6,78,20,10.36,KI,1655106780
macrohon,10.0797,124.9431,86.9,67,100,6.35,PH,1655106780
wabana,47.6332,-52.9481,42.08,91,40,6.91,CA,1655106781
sibolga,1.7427,98.7792,84.0,73,100,4.61,ID,1655106756
touros,-5.1989,-35.4608,72.99,88,14,8.46,BR,1655106781
aranos,-24.1333,19.1167,63.95,33,4,22.39,NA,1655106781
huarmey,-10.0681,-78.1522,61.97,86,51,6.44,PE,1655106782
douglas,41.3,-96.167,79.61,93,40,10.36,US,1655106782
zhuhai,22.2769,113.5678,87.58,89,40,14.97,CN,1655106541
saskylakh,71.9167,114.0833,70.88,24,0,8.77,RU,1655106782
constitucion,-35.3333,-72.4167,47.05,89,98,2.08,CL,1655106782
warrnambool,-38.3833,142.4833,50.81,71,100,3.87,AU,1655106783
nortelandia,-14.4547,-56.8028,54.86,79,97,2.66,BR,1655106783
khor,47.8861,134.9464,75.15,66,82,4.76,RU,1655106783
troitskoye,52.9821,84.6757,78.58,56,98,3.96,RU,1655106784
husavik,66.0449,-17.3389,48.09,81,100,3.74,IS,1655106784
havre,49.5833,0.3333,65.19,72,20,8.05,FR,1655106785
clyde river,70.4692,-68.5914,30.43,86,100,5.75,CA,1655106785
yamada,39.4667,141.95,57.25,89,86,9.04,JP,1655106786
mancio lima,-7.6142,-72.8958,61.23,90,69,2.68,BR,1655106786
santarem,-2.4431,-54.7083,73.53,100,40,3.44,BR,1655106759
hamilton,39.1834,-84.5333,74.77,93,75,6.91,US,1655106673
mareeba,-17.0,145.4333,67.44,82,6,4.85,AU,1655106786
komsomolskiy,40.4272,71.7189,79.52,38,100,0.0,UZ,1655106787
zhengjiatun,43.5064,123.5064,71.56,65,85,17.29,CN,1655106787
ixtapa,20.7,-105.2,78.22,83,35,1.01,MX,1655106761
pennagaram,12.1333,77.9,88.99,35,53,8.93,IN,1655106787
dingle,10.9995,122.6711,87.57,66,21,5.88,PH,1655106787
sarandi,-23.4436,-51.8739,40.77,82,14,2.28,BR,1655106788
vila franca do campo,37.7167,-25.4333,63.19,86,100,9.35,PT,1655106788
beira,-19.8436,34.8389,69.89,88,20,8.05,MZ,1655106788
rypefjord,70.6333,23.6667,43.27,87,75,6.91,NO,1655106788
dunmore town,25.5,-76.65,81.01,81,3,12.28,BS,1655106789
luanda,-8.8368,13.2343,73.4,83,20,4.61,AO,1655106613
alice springs,-23.7,133.8833,69.22,32,3,8.05,AU,1655106727
ketchikan,55.3422,-131.6461,47.89,87,84,2.37,US,1655106789
richmond,37.5538,-77.4603,74.05,92,0,4.0,US,1655106790
port-cartier,50.0334,-66.8654,52.75,81,100,9.98,CA,1655106790
yelizovo,53.1873,158.3805,66.34,42,20,8.95,RU,1655106708
mujiayingzi,42.1167,118.7833,71.94,42,99,9.48,CN,1655106742
zelenoborskiy,66.845,32.3622,56.52,79,100,4.25,RU,1655106792
batemans bay,-35.7167,150.1833,48.36,73,1,3.24,AU,1655106792
saint-pierre,-21.3393,55.4781,73.9,78,75,29.93,RE,1655106792
bulungu,-4.55,18.6,84.09,38,100,4.9,CD,1655106792
aklavik,68.2191,-135.0107,38.26,89,100,7.16,CA,1655106793
siuna,13.7332,-84.7773,70.38,99,100,2.84,NI,1655106794
avera,33.194,-82.5271,77.05,73,67,5.32,US,1655106794
metro,-5.1131,105.3067,84.56,66,100,5.39,ID,1655106736
sawakin,19.1059,37.3321,102.51,21,6,10.65,SD,1655106795
sabla,12.7525,4.7077,88.65,46,60,11.59,NG,1655106795
iskateley,67.6803,53.1512,62.69,33,87,10.04,RU,1655106795
geraldton,-28.7667,114.6,66.61,59,100,11.5,AU,1655106582
iqaluit,63.7506,-68.5145,35.33,87,75,10.36,CA,1655106789
den helder,52.9599,4.7593,62.02,70,75,17.0,NL,1655106667
mpulungu,-8.7623,31.1141,78.78,42,13,3.6,ZM,1655106796
tessalit,20.1986,1.0114,93.22,18,59,5.59,ML,1655106797
zhanakorgan,43.9098,67.2495,92.95,18,55,9.37,KZ,1655106797
cayenne,4.9333,-52.3333,74.08,1,20,0.0,GF,1655106797
alofi,-19.0595,-169.9187,73.29,94,40,5.75,NU,1655106797
lanigan,51.8501,-105.0344,55.98,89,100,5.91,CA,1655106798
cockburn town,21.4612,-71.1419,79.74,84,8,20.54,TC,1655106744
alamogordo,32.8995,-105.9603,84.22,24,0,8.05,US,1655106752
korgen,66.0771,13.8153,53.73,81,100,4.72,NO,1655106798
nanyang,32.9947,112.5328,92.43,23,70,15.43,CN,1655106799
changji,44.0167,87.3167,97.59,21,0,8.95,CN,1655106742
shchors,51.8186,31.945,72.34,61,9,8.08,UA,1655106799
wieliczka,49.9874,20.0647,78.94,45,96,4.0,PL,1655106799
keroka,-0.7758,34.9453,67.69,63,72,3.44,KE,1655106800
mecca,21.4267,39.8261,105.24,10,0,5.53,SA,1655106800
ulaanbaatar,47.9077,106.8832,75.33,20,0,15.66,MN,1655106696
boralday,43.3578,76.8594,85.86,32,75,4.47,KZ,1655106800
rio gallegos,-51.6226,-69.2181,33.85,93,20,5.75,AR,1655106700
pochutla,15.7432,-96.4661,76.82,92,100,3.0,MX,1655106801
erenhot,43.6475,111.9767,73.72,26,4,23.71,CN,1655106801
brownsville,25.9018,-97.4975,81.99,88,82,3.0,US,1655106801
aksha,50.2814,113.2867,75.9,25,19,10.6,RU,1655106802
olafsvik,64.8945,-23.7142,48.94,95,100,14.52,IS,1655106802
nome,64.5011,-165.4064,43.16,83,53,5.95,US,1655106803
yar-sale,66.8333,70.8333,45.64,75,100,22.73,RU,1655106803
scarborough,54.2797,-0.4044,59.79,67,13,5.01,GB,1655106675
oruro,-17.9833,-67.15,28.49,37,0,2.98,BO,1655106804
rio grande,-32.035,-52.0986,40.95,94,67,9.35,BR,1655106804
lazaro cardenas,17.9583,-102.2,79.84,81,40,4.14,MX,1655106683
matagami,49.7502,-77.6328,51.91,100,100,4.61,CA,1655106805
lasa,46.6166,10.7002,65.7,59,93,3.94,IT,1655106806
sobolevo,54.4299,31.8996,67.78,70,38,9.46,RU,1655106806
walvis bay,-22.9575,14.5053,58.15,94,100,3.44,NA,1655106535
flin flon,54.7682,-101.865,51.76,98,22,6.4,CA,1655106807
salisbury,51.0693,-1.7957,62.96,71,20,6.91,GB,1655106675
soe,-9.8607,124.284,73.85,59,28,6.55,ID,1655106807
kendari,-3.945,122.4989,78.69,86,100,3.29,ID,1655106624
port blair,11.6667,92.75,89.64,66,40,8.05,IN,1655106692
curaca,-8.9903,-39.9094,71.17,84,5,7.16,BR,1655106808
puri,19.8,85.85,99.12,68,100,16.46,IN,1655106804
bokhan,53.153,103.7714,78.71,37,100,6.69,RU,1655106808
henties bay,-22.116,14.2845,64.8,64,0,3.65,NA,1655106809
boone,39.0334,-92.3335,82.4,86,4,6.93,US,1655106809
angoche,-16.2325,39.9086,76.42,67,67,9.6,MZ,1655106729
panshi,42.9422,126.0561,69.53,73,100,12.84,CN,1655106810
bani walid,31.7566,13.9942,81.27,31,0,13.49,LY,1655106810
narsaq,60.9167,-46.05,37.67,76,76,2.26,GL,1655106810
pacific grove,36.6177,-121.9166,58.01,86,100,18.01,US,1655106811
hay river,60.8156,-115.7999,51.78,82,20,2.3,CA,1655106811
camargo,27.6667,-105.1667,83.32,21,1,10.98,MX,1655106771
castelldefels,41.2779,1.9703,85.78,46,20,4.61,ES,1655106779
sisophon,13.5859,102.9737,95.94,44,100,2.17,KH,1655106812
ahraura,25.0167,83.0167,114.37,12,49,13.53,IN,1655106550
semme,46.1963,1.5007,66.61,65,20,7.99,FR,1655106812
sinnamary,5.3833,-52.95,75.34,90,13,5.61,GF,1655106813
constantine,36.365,6.6147,72.81,37,0,3.44,DZ,1655106813
christchurch,-43.5333,172.6333,48.4,67,40,19.57,NZ,1655106813
lata,40.1629,-8.3327,83.48,48,7,2.13,PT,1655106813
coruripe,-10.1256,-36.1756,72.18,91,8,4.79,BR,1655106779
mitsamiouli,-11.3847,43.2844,79.88,67,7,8.14,KM,1655106814
opuwo,-18.0607,13.84,68.07,35,0,5.46,NA,1655106814
suileng,47.25,127.0833,64.58,85,100,13.29,CN,1655106814
kabalo,-6.05,26.9167,85.62,34,49,9.35,CD,1655106797
north saint paul,45.0125,-92.9919,70.05,88,0,8.05,US,1655106815
kuala selangor,3.35,101.25,93.4,72,98,9.04,MY,1655106716
oistins,13.0667,-59.5333,80.69,78,20,17.27,BB,1655106816
tadine,-21.55,167.8833,73.09,91,100,13.24,NC,1655106817
shepetivka,50.1855,27.0637,71.82,60,41,2.98,UA,1655106768
dzhebariki-khaya,62.2167,135.8,64.35,47,100,1.83,RU,1655106818
deputatskiy,69.3,139.9,66.0,27,2,15.75,RU,1655106809
mamaku,-38.1,176.0833,45.41,96,95,11.36,NZ,1655106819
buchanan,5.8808,-10.0467,76.93,87,87,6.71,LR,1655106819
laizhou,37.1717,119.9214,81.48,48,7,17.18,CN,1655106742
arman,59.7,150.1667,52.02,87,99,4.68,RU,1655106819
tallahassee,30.4383,-84.2807,77.32,94,75,0.0,US,1655106746
halifax,44.6453,-63.5724,64.29,86,100,1.14,CA,1655106703
shahrud,36.4182,54.9763,85.82,20,0,6.22,IR,1655106820
adre,13.4667,22.2,83.66,46,52,6.02,TD,1655106820
lufilufi,-13.8745,-171.5986,76.78,78,20,16.06,WS,1655106821
mandalgovi,45.7625,106.2708,76.24,20,9,14.47,MN,1655106821
astoria,46.1879,-123.8313,52.47,87,100,6.91,US,1655106821
porangatu,-13.4408,-49.1486,68.92,61,99,4.09,BR,1655106821
kamenka,51.3223,42.7678,72.12,43,0,4.68,RU,1655106822
airai,-8.9266,125.4092,65.3,75,78,3.24,TL,1655106822
shaunavon,49.6501,-108.4181,62.38,58,77,5.3,CA,1655106822
berlin,52.5244,13.4105,65.98,58,20,11.5,DE,1655106538
necochea,-38.5473,-58.7368,46.17,61,93,10.09,AR,1655106823
ceres,37.5949,-120.9577,64.8,77,0,7.18,US,1655106823
kavalerovo,44.2661,135.0572,65.44,52,98,7.36,RU,1655106823
copiapo,-27.3667,-70.3333,46.09,52,1,0.07,CL,1655106824
bozuyuk,39.9078,30.0367,66.78,69,76,11.32,TR,1655106698
surat,21.1667,72.8333,89.58,58,40,10.36,IN,1655106690
hohhot,40.8106,111.6522,71.89,35,40,17.9,CN,1655106826
